Language_ID	AUTOTYP_area	Longitude	Latitude
avok1242	African Savannah	29.9379	4.38639
avok1244	Oceania	167.773866	-16.536653
awab1243	S Australia	151.43555	-33.12847
awac1238	Southeast Asia	99.4833	22.75
awac1239	Andean	-78.3401	1.21652
awad1243	Indic	82.4663	27.5907
awad1244	N Coast New Guinea	146.355	-5.59896
awak1250	African Savannah	11.3291	9.8633400000000009
awap1236	Interior New Guinea	145.714	-6.65534
awar1248	N Coast New Guinea	146.372	-6.16986
awar1249	N Coast New Guinea	144.836	-4.13554
awbo1238	S New Guinea	139.724	-5.05875
awee1242	S Africa	41.234	-1.40124
awer1241	N Coast New Guinea	136.063	-2.71886
awet1244	NE South America	-53.391944	-12.381944
awia1234	N Coast New Guinea	143.71036	-4.67314
awin1248	African Savannah	10.264	5.88362
awiy1238	Interior New Guinea	145.76	-6.54079
awji1241	N Africa	21.1819	29.2341
awng1244	Greater Abyssinia	36.6916	10.9819
awng1245	N Australia	141.984	-12.544
awtu1239	N Coast New Guinea	141.928	-3.53129
awun1245	N Coast New Guinea	141.999	-3.79671
awut1241	African Savannah	-0.59545	5.42441
awuu1235	Southeast Asia	103.306	25.395
awyi1241	N Coast New Guinea	140.604	-3.00564
axam1237	Oceania	167.707	-16.4838
axiy1235	Southeast Asia	103.713	24.6009
ayab1239	N Australia	142.893	-14.6652
ayac1239	Andean	-74.32246	-13.84714
ayau1235	Mesoamerica	-96.5952	18.0993
ayer1245	African Savannah	6.01979	7.52206
ayic1234	Indic	98.8684	27.1213
ayip1235	N Coast New Guinea	142.407	-3.95946
ayiw1239	Oceania	166.328715	-10.282595
ayiz1244	Southeast Asia	103.7	25
ayiz1245	African Savannah	2.20552	6.62654
ayoq1235	Mesoamerica	-96.8575	16.6633
ayor1240	SE South America	-60.217495	-19.220055
ayut1236	Mesoamerica	-99.0967	16.96667
ayuu1242	African Savannah	8.60225	9.2634
azha1235	Southeast Asia	104.15	23.9
azhe1235	Southeast Asia	103.441	24.405
azoy1236	Mesoamerica	-98.5241	16.7584
baan1241	African Savannah	7.30065	4.66709
baan1242	African Savannah	5.7261	10.8083
baat1238	African Savannah	2.99607	9.63186
baaz1234	African Savannah	9.97124	6.80235
baba1263	S Africa	23.5851	1.79475
